Reference;Customer;Ship To;BU;Element;Element Type;Date;Qtes
110-0/312;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
110-0/NOIR;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
111/161110053;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
111/161110055;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
1110817415000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;35
1110817425000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;15
1113222315000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;26
1,121E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
115059013101F;N.D;MCI;STE MCI;History;Original History;01/05/2018;84
1305208855000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
134-35LR/110GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
134-35LR/120GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
134-35LR/130GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
134-35S/100GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;500
134-35S/90GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;500
134-KKS/65;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
134-KKS/70;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
134-KKS/80;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
134LR/100GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;200
134LR/90GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
134S/90GB;N.D;MCI;STE MCI;History;Original History;01/05/2018;500
149515035501F;N.D;MCI;STE MCI;History;Original History;01/05/2018;42
149521035501F;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
156;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
1606R214R;N.D;MCI;STE MCI;History;Original History;01/05/2018;76.2
181/R;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
19KST04596;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
1ET000001;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
200-SR/75;N.D;MCI;STE MCI;History;Original History;01/05/2018;120
2000;N.D;MCI;STE MCI;History;Original History;01/05/2018;60
21;N.D;MCI;STE MCI;History;Original History;01/05/2018;30
2350N2000;N.D;MCI;STE MCI;History;Original History;01/05/2018;36
2410-M/NOIR;N.D;MCI;STE MCI;History;Original History;01/05/2018;500
2415;N.D;MCI;STE MCI;History;Original History;01/05/2018;1440
2881-8X9X8MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
295;N.D;MCI;STE MCI;History;Original History;01/05/2018;110
300PCA;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
3067;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
3,0816E+11;N.D;MCI;STE MCI;History;Original History;01/05/2018;21.9
316.13;N.D;MCI;STE MCI;History;Original History;01/05/2018;30.6
316.13AD;N.D;MCI;STE MCI;History;Original History;01/05/2018;56
321-M/312;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
321-M/NOIR;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
330-D/321/85;N.D;MCI;STE MCI;History;Original History;01/05/2018;400
330-D/343/85;N.D;MCI;STE MCI;History;Original History;01/05/2018;400
330-D/BLANC/85;N.D;MCI;STE MCI;History;Original History;01/05/2018;400
330-D/NOIR/85;N.D;MCI;STE MCI;History;Original History;01/05/2018;400
3,30162E+11;N.D;MCI;STE MCI;History;Original History;01/05/2018;37.5
330H-W;N.D;MCI;STE MCI;History;Original History;01/05/2018;41
340606;N.D;MCI;STE MCI;History;Original History;01/05/2018;12
40130034;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
43014;N.D;MCI;STE MCI;History;Original History;01/05/2018;12
43017;N.D;MCI;STE MCI;History;Original History;01/05/2018;186
48100AM;N.D;MCI;STE MCI;History;Original History;01/05/2018;72
48100AM1;N.D;MCI;STE MCI;History;Original History;01/05/2018;360
48100AT;N.D;MCI;STE MCI;History;Original History;01/05/2018;144
48100MLN;N.D;MCI;STE MCI;History;Original History;01/05/2018;396
48KST04536;N.D;MCI;STE MCI;History;Original History;01/05/2018;252
05-mars;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
532-10750/10;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
532-20316;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
532-2073-3/1;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
532-26E/2;N.D;MCI;STE MCI;History;Original History;01/05/2018;30
5ST000070BSO;N.D;MCI;STE MCI;History;Original History;01/05/2018;388.5
60456/EXO;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
628.25AS;N.D;MCI;STE MCI;History;Original History;01/05/2018;5.25
699-28;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
700021;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
804-43;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
91-119283-01;N.D;MCI;STE MCI;History;Original History;01/05/2018;40
9,10004E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
9,10005E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
9103280875699B;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
9105619225000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
9,10583E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9,11181E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
91119202044.3;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
9111925305000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9111938105000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
91119444044.3;N.D;MCI;STE MCI;History;Original History;01/05/2018;510
9,11503E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9,11503E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
9,11503E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9115067125000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
9115073924003B;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
9116439992000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
9,11682E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9117632805000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
9117633225000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9,12624E+12;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
9126338401000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
9126338605000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
9126393491000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
9126424005000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
9126522591000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
9150128805000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
9577446691000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
9913719205000B;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
ADRI.ETRP;N.D;MCI;STE MCI;History;Original History;01/05/2018;700
ADRI.ETRR;N.D;MCI;STE MCI;History;Original History;01/05/2018;500
ADRI.ETRW;N.D;MCI;STE MCI;History;Original History;01/05/2018;900
ADRI.PIN10P;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
ADRI.PIN6F;N.D;MCI;STE MCI;History;Original History;01/05/2018;48
ADRI.PIN6P;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
ADRI.PIN8P;N.D;MCI;STE MCI;History;Original History;01/05/2018;12
ADRI.POTCOLLE;N.D;MCI;STE MCI;History;Original History;01/05/2018;13
ADRI.POTCOLLE0.4;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
ADRI.SILVER;N.D;MCI;STE MCI;History;Original History;01/05/2018;3400
ADRI.SILVER+ETUI;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
AE-910/01;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
AE-910/18;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
ART.511;N.D;MCI;STE MCI;History;Original History;01/05/2018;34
AT18C22MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
B0-B872/A-M;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
B40C1147-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;288
B40C2001-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;252
B40C2017-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
B40C2044-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;60
B40C2064-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
B40C2070-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;12
B40C2091-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;36
B40C876-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
BD-19X2;N.D;MCI;STE MCI;History;Original History;01/05/2018;1600
BE-19X2;N.D;MCI;STE MCI;History;Original History;01/05/2018;1200
BIAD622-10MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;70
BIAD622-50MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;90
BIAD622-750MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
BIAD622-8MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
BS200-ROLL;N.D;MCI;STE MCI;History;Original History;01/05/2018;0.5
BTOST2-106158;N.D;MCI;STE MCI;History;Original History;01/05/2018;30
CNW50G70X300N;N.D;MCI;STE MCI;History;Original History;01/05/2018;900
CNW50G90X300B;N.D;MCI;STE MCI;History;Original History;01/05/2018;5100
CNW50G90X300N;N.D;MCI;STE MCI;History;Original History;01/05/2018;5400
COL-GP3-4-71;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
CP-PF151;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
CP-PF490TR;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
CP-PF591;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
CR01301;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
DA0367170090;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
DA0467220723;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
DA0998861590;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
DA0999201573;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
DA9850367001;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
DSH-PF490-A;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
DSH-PF490TR;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
E-5165;N.D;MCI;STE MCI;History;Original History;01/05/2018;84
EK21;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
EK30;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
F655-236;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
FR120-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;9
FR120-5000YDS;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
FTP2000-75MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
FYT-200T/424;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
FYT-200T/431;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
FYT-200T/436;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
FYT-200T/499;N.D;MCI;STE MCI;History;Original History;01/05/2018;64.7
G16;N.D;MCI;STE MCI;History;Original History;01/05/2018;12
G726;N.D;MCI;STE MCI;History;Original History;01/05/2018;72
GP2-71;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
GR367-RESSORT;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
H1800X500X50B;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
H1800X500X50NL;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
H2000X500X50B;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
H900X450X50B;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
H900X450X50SR;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
H900X450X50SV;N.D;MCI;STE MCI;History;Original History;01/05/2018;12
HNW40G100X300;N.D;MCI;STE MCI;History;Original History;01/05/2018;2400
I-8042M;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
IA15C20G;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
IE-DC5V;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
IE94-05P;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
K1.0C101-500;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
K1.0C104-500;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
K1.0C115-500;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
K1.0C135-500;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
K1.2C136-500;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
KK10.1;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
KM12;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
KP367LN;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
KP367RN;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
KP768-I-8MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
KRT470C-R;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
L-300;N.D;MCI;STE MCI;History;Original History;01/05/2018;150
L50MM-BLANC;N.D;MCI;STE MCI;History;Original History;01/05/2018;100
LA2065X40X0.4;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
LA2790X50X0.6;N.D;MCI;STE MCI;History;Original History;01/05/2018;11
LA3500X50X0.7;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
LA3570X50X0.8;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
LP8971-I-AUT;N.D;MCI;STE MCI;History;Original History;01/05/2018;13
LP8974-I-AUT;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
LP9971;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
LPP-3;N.D;MCI;STE MCI;History;Original History;01/05/2018;55
LPP-9;N.D;MCI;STE MCI;History;Original History;01/05/2018;15
LUSTAFILTM4129;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
LUSTAFILTM4138;N.D;MCI;STE MCI;History;Original History;01/05/2018;3.3
LUSTAFILTM4182;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
M90605010;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
M90804065;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
M91107022;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
M91807045;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
M92004015;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
M94008070;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
M97085030;N.D;MCI;STE MCI;History;Original History;01/05/2018;30
MB10M0256;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MB10M0616;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MB18A0101;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MB18A0154;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MB18A0660;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
MB18A3180;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
MB18A4920;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
ME10A2101;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
ME10E0270;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MF15C1-2500;N.D;MCI;STE MCI;History;Original History;01/05/2018;640
MF15C9-2500;N.D;MCI;STE MCI;History;Original History;01/05/2018;128
MF2036;N.D;MCI;STE MCI;History;Original History;01/05/2018;26
MF20C9-1500;N.D;MCI;STE MCI;History;Original History;01/05/2018;9
MF30C00-1KG;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
MF30C6183-2500;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF30C9-1KG;N.D;MCI;STE MCI;History;Original History;01/05/2018;207
MF40C00-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;104
MF40C16-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF40C3-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;40
MF40C4-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;16
MF40C5-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;88
MF40C511-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;16
MF40C5328-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF40C5340-10M;N.D;MCI;STE MCI;History;Original History;01/05/2018;96
MF40C5340-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
MF40C59-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;16
MF40C6413-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF40C6418-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF40C7-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF40C9-1KG;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
MF40C9-3000;N.D;MCI;STE MCI;History;Original History;01/05/2018;136
MF60C00-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;32
MF60C174-250;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
MF60C3-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
MF60C511-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF60C5500-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF60C59-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;32
MF60C6282-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;16
MF60C7-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
MF60C73-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
MF60C825-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
MF60C834-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;72
MF60C835-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;24
MF60C9-5000;N.D;MCI;STE MCI;History;Original History;01/05/2018;32
MF80C5340-25M;N.D;MCI;STE MCI;History;Original History;01/05/2018;48
MICRO.SP0.5;N.D;MCI;STE MCI;History;Original History;01/05/2018;72.5
MN52A2245;N.D;MCI;STE MCI;History;Original History;01/05/2018;15
MO2MMD30AD;N.D;MCI;STE MCI;History;Original History;01/05/2018;75
MO3MMD30AD;N.D;MCI;STE MCI;History;Original History;01/05/2018;75
MS01A0329;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
MS01A0611;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MS01E0580;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
MS03B0838;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
MS14A0838;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
MS14A0972;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
N5100C;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
N655/2000;N.D;MCI;STE MCI;History;Original History;01/05/2018;1980
N658-T;N.D;MCI;STE MCI;History;Original History;01/05/2018;320
NL100-ROLL;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
NL150-ROLL;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
NP40G90BL/RE;N.D;MCI;STE MCI;History;Original History;01/05/2018;15300
NP50G70BL/505AD;N.D;MCI;STE MCI;History;Original History;01/05/2018;900
NP50G90BL/505AD;N.D;MCI;STE MCI;History;Original History;01/05/2018;5700
NP50G90NR/505AD;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
OBS000070120;N.D;MCI;STE MCI;History;Original History;01/05/2018;195
PES40-3250-326;N.D;MCI;STE MCI;History;Original History;01/05/2018;16
PES40-3250-350;N.D;MCI;STE MCI;History;Original History;01/05/2018;32
PES40-3250N;N.D;MCI;STE MCI;History;Original History;01/05/2018;212
PES60-5000-326;N.D;MCI;STE MCI;History;Original History;01/05/2018;32
PES60-5000N;N.D;MCI;STE MCI;History;Original History;01/05/2018;64
PF-101062-1;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
PF-101069;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
PF-101072;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
PFF0001;N.D;MCI;STE MCI;History;Original History;01/05/2018;42
PLM120X30;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
PO10;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
PSA-1000X0.254;N.D;MCI;STE MCI;History;Original History;01/05/2018;0.5
PT110F36/1RW;N.D;MCI;STE MCI;History;Original History;01/05/2018;204.45
PT50F36/1B;N.D;MCI;STE MCI;History;Original History;01/05/2018;154.02
PT50F36/1OW;N.D;MCI;STE MCI;History;Original History;01/05/2018;110.17
PT50F36/1RW;N.D;MCI;STE MCI;History;Original History;01/05/2018;204.44
PT78F36/1B;N.D;MCI;STE MCI;History;Original History;01/05/2018;162.1
PT78F36/1OW;N.D;MCI;STE MCI;History;Original History;01/05/2018;1.39
PT78F36/1RW;N.D;MCI;STE MCI;History;Original History;01/05/2018;109.86
PX-5202;N.D;MCI;STE MCI;History;Original History;01/05/2018;10.1
PX-5203;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
R00703;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
R00704;N.D;MCI;STE MCI;History;Original History;01/05/2018;3
R01102;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
R02304;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
R04501;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
R04701;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
REPARATION;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
RT/F30B;N.D;MCI;STE MCI;History;Original History;01/05/2018;188
RT/G13A;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
RT/S40E;N.D;MCI;STE MCI;History;Original History;01/05/2018;80
RUB20X1.0X1.0;N.D;MCI;STE MCI;History;Original History;01/05/2018;40
RUB50X1.5X1.5;N.D;MCI;STE MCI;History;Original History;01/05/2018;60
S-KMR-S-0.40MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;900
S-KMR-S-0.60MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
S-KMR-S-0.80MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;75
S505;N.D;MCI;STE MCI;History;Original History;01/05/2018;40
S59222301;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
SA-1305;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
SB-145;N.D;MCI;STE MCI;History;Original History;01/05/2018;45
SB60GR24X200B;N.D;MCI;STE MCI;History;Original History;01/05/2018;540
SB60GR30X200B;N.D;MCI;STE MCI;History;Original History;01/05/2018;225
SC181;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
SC39;N.D;MCI;STE MCI;History;Original History;01/05/2018;4
SCP31MIN;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
SH181;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
SL-32/105;N.D;MCI;STE MCI;History;Original History;01/05/2018;40
SOL_HAL;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
SP699-ROLL;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
SQ01;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
SQ29;N.D;MCI;STE MCI;History;Original History;01/05/2018;11
SR02;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
SR43;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
SR45;N.D;MCI;STE MCI;History;Original History;01/05/2018;14
SR46;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
SR49F;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
SRP-G;N.D;MCI;STE MCI;History;Original History;01/05/2018;800
ST16;N.D;MCI;STE MCI;History;Original History;01/05/2018;17
STR187.0047;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
STR230.0120;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
SU16;N.D;MCI;STE MCI;History;Original History;01/05/2018;6
SU17;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
SX110.C;N.D;MCI;STE MCI;History;Original History;01/05/2018;2
SX22;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
SX25;N.D;MCI;STE MCI;History;Original History;01/05/2018;5
SY31;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
T484-0.55-SAHARA;N.D;MCI;STE MCI;History;Original History;01/05/2018;201
T696-1.00;N.D;MCI;STE MCI;History;Original History;01/05/2018;172.5
T696-1.75;N.D;MCI;STE MCI;History;Original History;01/05/2018;859.5
T97-2.00-BEI;N.D;MCI;STE MCI;History;Original History;01/05/2018;15
TAGS-15MM;N.D;MCI;STE MCI;History;Original History;01/05/2018;10
TC800;N.D;MCI;STE MCI;History;Original History;01/05/2018;8
TC801-WK;N.D;MCI;STE MCI;History;Original History;01/05/2018;116
TF50M;N.D;MCI;STE MCI;History;Original History;01/05/2018;1200
TNT100NAD;N.D;MCI;STE MCI;History;Original History;01/05/2018;300
TNT70GRX200;N.D;MCI;STE MCI;History;Original History;01/05/2018;200
TYROCOL_C-80;N.D;MCI;STE MCI;History;Original History;01/05/2018;50
U100C1-10000;N.D;MCI;STE MCI;History;Original History;01/05/2018;20
VGC250F800A00;N.D;MCI;STE MCI;History;Original History;01/05/2018;554
WL26+24G70X200N;N.D;MCI;STE MCI;History;Original History;01/05/2018;200
Z-27/880/100;N.D;MCI;STE MCI;History;Original History;01/05/2018;60
ZS-50_1.8RD_K180;N.D;MCI;STE MCI;History;Original History;01/05/2018;1
